Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
EVGO,EVGO INC CLASS A,Consumer Discretionary,Equity,"5,999,566.32",0.01,"5,999,566.32","1,515,042.00",3.96,United States,NASDAQ,USD,1,USD,-
BHR,BRAEMAR HOTELS RESORTS INC,Real Estate,Equity,"5,996,967.60",0.01,"5,996,967.60","1,469,845.00",4.08,United States,New York Stock Exchange Inc.,USD,1,USD,-
AURA,AURA BIOSCIENCES INC,Health Care,Equity,"5,991,322.40",0.01,"5,991,322.40","491,092.00",12.2,United States,NASDAQ,USD,1,USD,-
CNSL,CONSOLIDATED COMMUNICATIONS HOLDIN,Communication,Equity,"5,985,486.00",0.01,"5,985,486.00","1,662,635.00",3.6,United States,NASDAQ,USD,1,USD,-
FISI,FINANCIAL INSTITUTIONS INC,Financials,Equity,"5,943,753.12",0.01,"5,943,753.12","366,672.00",16.21,United States,NASDAQ,USD,1,USD,-
PSTL,POSTAL REALTY TRUST INC CLASS A,Real Estate,Equity,"5,930,884.63",0.01,"5,930,884.63","398,849.00",14.87,United States,New York Stock Exchange Inc.,USD,1,USD,-
NSTG,NANOSTRING TECHNOLOGIES INC,Health Care,Equity,"5,897,294.10",0.01,"5,897,294.10","1,034,613.00",5.7,United States,NASDAQ,USD,1,USD,-
AMRX,AMNEAL PHARMACEUTICALS INC CLASS A,Health Care,Equity,"5,866,969.60",0.01,"5,866,969.60","2,291,785.00",2.56,United States,New York Stock Exchange Inc.,USD,1,USD,-
DXLG,DESTINATION XL GROUP INC,Consumer Discretionary,Equity,"5,867,590.37",0.01,"5,867,590.37","1,306,813.00",4.49,United States,NASDAQ,USD,1,USD,-
SIGA,SIGA TECHNOLOGIES INC,Health Care,Equity,"5,852,357.15",0.01,"5,852,357.15","1,073,827.00",5.45,United States,NASDAQ,USD,1,USD,-
SLQT,SELECTQUOTE INC,Financials,Equity,"5,852,858.88",0.01,"5,852,858.88","3,048,364.00",1.92,United States,New York Stock Exchange Inc.,USD,1,USD,-
EBTC,ENTERPRISE BANCORP INC,Financials,Equity,"5,826,820.34",0.01,"5,826,820.34","207,878.00",28.03,United States,NASDAQ,USD,1,USD,-
EVC,ENTRAVISION COMMUNICATIONS CORP CL,Communication,Equity,"5,809,058.72",0.01,"5,809,058.72","1,323,248.00",4.39,United States,New York Stock Exchange Inc.,USD,1,USD,-
PKE,PARK AEROSPACE CORP,Industrials,Equity,"5,809,661.96",0.01,"5,809,661.96","429,074.00",13.54,United States,New York Stock Exchange Inc.,USD,1,USD,-
AVNW,AVIAT NETWORKS INC,Information Technology,Equity,"5,804,544.83",0.01,"5,804,544.83","187,183.00",31.01,United States,NASDAQ,USD,1,USD,-
GPMT,GRANITE POINT MORTGAGE TRUST INC,Financials,Equity,"5,792,648.94",0.01,"5,792,648.94","1,172,601.00",4.94,United States,New York Stock Exchange Inc.,USD,1,USD,-
NVTA,INVITAE CORP,Health Care,Equity,"5,787,184.48",0.01,"5,787,184.48","5,459,608.00",1.06,United States,New York Stock Exchange Inc.,USD,1,USD,-
FNLC,FIRST BANCORP INC,Financials,Equity,"5,741,871.30",0.01,"5,741,871.30","236,291.00",24.3,United States,NASDAQ,USD,1,USD,-
BLFY,BLUE FOUNDRY BANCORP,Financials,Equity,"5,697,622.56",0.01,"5,697,622.56","589,816.00",9.66,United States,NASDAQ,USD,1,USD,-
SRDX,SURMODICS INC,Health Care,Equity,"5,673,059.96",0.01,"5,673,059.96","303,697.00",18.68,United States,NASDAQ,USD,1,USD,-
DSGR,DISTRIBUTION SOLUTIONS GROUP INC,Industrials,Equity,"5,677,439.04",0.01,"5,677,439.04","116,532.00",48.72,United States,NASDAQ,USD,1,USD,-
AMPY,AMPLIFY ENERGY CORP,Energy,Equity,"5,646,370.66",0.01,"5,646,370.66","798,638.00",7.07,United States,New York Stock Exchange Inc.,USD,1,USD,-
KALV,KALVISTA PHARMACEUTICALS INC,Health Care,Equity,"5,631,301.14",0.01,"5,631,301.14","553,173.00",10.18,United States,NASDAQ,USD,1,USD,-
SOI,SOLARIS OILFIELD INFRASTRUCTURE IN,Energy,Equity,"5,634,851.62",0.01,"5,634,851.62","705,238.00",7.99,United States,New York Stock Exchange Inc.,USD,1,USD,-
HBCP,HOME BANCORP INC,Financials,Equity,"5,628,243.96",0.01,"5,628,243.96","174,357.00",32.28,United States,NASDAQ,USD,1,USD,-
PTRA,PROTERRA INC,Industrials,Equity,"5,600,868.73",0.01,"5,600,868.73","4,956,521.00",1.13,United States,NASDAQ,USD,1,USD,-
NBN,NORTHEAST BANK,Financials,Equity,"5,601,314.00",0.01,"5,601,314.00","147,403.00",38,United States,NASDAQ,USD,1,USD,-
GLRE,GREENLIGHT CAPITAL LTD CLASS A,Financials,Equity,"5,594,250.08",0.01,"5,594,250.08","582,128.00",9.61,United States,NASDAQ,USD,1,USD,-
